Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit_FullName,Chrome 90.0.4430.212,,,2021-05-28 21:25:50,2021-05-28 21:30:38,4m - 48.111s,FAILED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 21:25:51,2021-05-28 21:26:54,1m - 3.712s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:25:51,2021-05-28 21:25:54,2.317s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signin"")",Chrome 90.0.4430.212,,,2021-05-28 21:25:54,2021-05-28 21:26:02,8.320s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _dcc84b""), username)",Chrome 90.0.4430.212,,,2021-05-28 21:26:02,2021-05-28 21:26:11,8.679s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _a3edc6""), password)",Chrome 90.0.4430.212,,,2021-05-28 21:26:11,2021-05-28 21:26:11,0.628s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 21:26:11,2021-05-28 21:26:12,0.572s,PASSED
"if (findTestObject(""Edit Fullname/Page_Mattermost/span_Back to Mattermost""))",Chrome 90.0.4430.212,,,2021-05-28 21:26:12,2021-05-28 21:26:16,3.809s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Account Settings""))",Chrome 90.0.4430.212,,,2021-05-28 21:26:16,2021-05-28 21:26:51,35.030s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 21:26:51,2021-05-28 21:26:51,0.657s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_First Name_firstName""), firstName)",Chrome 90.0.4430.212,,,2021-05-28 21:26:51,2021-05-28 21:26:52,0.890s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_Last Name_lastName""), lastName)",Chrome 90.0.4430.212,,,2021-05-28 21:26:52,2021-05-28 21:26:53,0.718s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Save""))",Chrome 90.0.4430.212,,,2021-05-28 21:26:53,2021-05-28 21:26:53,0.383s,PASSED
"verifyElementPresent(findTestObject(""Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_General Settings""), 0)",Chrome 90.0.4430.212,,,2021-05-28 21:26:53,2021-05-28 21:26:54,0.462s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 21:26:54,2021-05-28 21:26:54,0.735s,PASSED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 21:26:55,2021-05-28 21:27:30,35.851s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:26:55,2021-05-28 21:26:56,1.239s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signin"")",Chrome 90.0.4430.212,,,2021-05-28 21:26:56,2021-05-28 21:27:30,34.303s,PASSED
