Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign_Up,Chrome 90.0.4430.212,,,2021-05-28 11:31:43,2021-05-28 11:33:18,1m - 34.635s,PASSED
,,,,,,,
Test Cases/Data Type/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 11:31:44,2021-05-28 11:31:58,13.953s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 11:31:45,2021-05-28 11:31:47,2.177s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 11:31:47,2021-05-28 11:31:50,3.398s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 11:31:50,2021-05-28 11:31:56,6.286s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 11:31:56,2021-05-28 11:31:57,0.686s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 11:31:57,2021-05-28 11:31:58,0.476s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 11:31:58,2021-05-28 11:31:58,0.415s,PASSED
,,,,,,,
Test Cases/Data Type/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 11:31:58,2021-05-28 11:32:11,13.023s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 11:31:58,2021-05-28 11:32:00,1.953s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 11:32:00,2021-05-28 11:32:03,3.290s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 11:32:03,2021-05-28 11:32:10,6.212s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 11:32:10,2021-05-28 11:32:10,0.717s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 11:32:10,2021-05-28 11:32:11,0.456s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 11:32:11,2021-05-28 11:32:11,0.383s,PASSED
,,,,,,,
Test Cases/Data Type/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 11:32:11,2021-05-28 11:32:25,13.599s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 11:32:11,2021-05-28 11:32:13,1.838s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 11:32:13,2021-05-28 11:32:17,3.637s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 11:32:17,2021-05-28 11:32:23,6.463s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 11:32:23,2021-05-28 11:32:24,0.806s,PASSED
