Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit_FullName,Chrome 90.0.4430.212,,,2021-05-28 21:04:38,2021-05-28 21:11:45,7m - 7.156s,FAILED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 21:04:39,2021-05-28 21:05:22,43.254s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:04:39,2021-05-28 21:04:43,3.091s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signin"")",Chrome 90.0.4430.212,,,2021-05-28 21:04:43,2021-05-28 21:04:47,4.099s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _dcc84b""), username)",Chrome 90.0.4430.212,,,2021-05-28 21:04:47,2021-05-28 21:04:57,9.873s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _a3edc6""), password)",Chrome 90.0.4430.212,,,2021-05-28 21:04:57,2021-05-28 21:04:57,0.605s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 21:04:57,2021-05-28 21:04:58,0.589s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span""))",Chrome 90.0.4430.212,,,2021-05-28 21:04:58,2021-05-28 21:05:15,17.226s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Account Settings""))",Chrome 90.0.4430.212,,,2021-05-28 21:05:15,2021-05-28 21:05:17,2.275s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 21:05:17,2021-05-28 21:05:18,0.944s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_First Name_firstName""), firstName)",Chrome 90.0.4430.212,,,2021-05-28 21:05:18,2021-05-28 21:05:19,0.823s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_Last Name_lastName""), lastName)",Chrome 90.0.4430.212,,,2021-05-28 21:05:19,2021-05-28 21:05:20,0.731s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Save""))",Chrome 90.0.4430.212,,,2021-05-28 21:05:20,2021-05-28 21:05:20,0.421s,PASSED
"verifyElementPresent(findTestObject(""Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_General Settings""), 0)",Chrome 90.0.4430.212,,,2021-05-28 21:05:20,2021-05-28 21:05:22,1.381s,PASSED
