Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 22:03:17,2021-05-28 22:03:18,1.287s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 22:03:18,2021-05-28 22:03:26,7.153s,PASSED
"setText(findTestObject(""Sign Up/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 22:03:26,2021-05-28 22:03:37,11.009s,PASSED
"setText(findTestObject(""Sign Up/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 22:03:37,2021-05-28 22:03:37,0.699s,PASSED
"setEncryptedText(findTestObject(""Sign Up/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 22:03:37,2021-05-28 22:03:38,0.422s,PASSED
"click(findTestObject(""Sign Up/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 22:03:38,2021-05-28 22:03:38,0.426s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 22:03:38,2021-05-28 22:03:39,0.663s,PASSED
,,,,,,,
Test Cases/Data Type/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 22:03:39,2021-05-28 22:05:08,1m - 28.888s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 22:03:39,2021-05-28 22:03:40,1.313s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 22:03:40,2021-05-28 22:04:45,1m - 4.940s,PASSED
"setText(findTestObject(""Sign Up/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 22:04:45,2021-05-28 22:04:59,13.924s,PASSED
"setText(findTestObject(""Sign Up/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 22:04:59,2021-05-28 22:05:03,4.011s,PASSED
"setEncryptedText(findTestObject(""Sign Up/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 22:05:03,2021-05-28 22:05:05,1.971s,PASSED
"click(findTestObject(""Sign Up/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 22:05:05,2021-05-28 22:05:07,2.100s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 22:05:07,2021-05-28 22:05:08,0.623s,PASSED
