Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit_FullName,Chrome 90.0.4430.212,,,2021-05-28 21:16:49,2021-05-28 21:24:26,7m - 36.632s,FAILED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 21:16:51,2021-05-28 21:17:15,24.336s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:16:51,2021-05-28 21:16:54,2.344s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signin"")",Chrome 90.0.4430.212,,,2021-05-28 21:16:54,2021-05-28 21:16:57,3.807s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _dcc84b""), username)",Chrome 90.0.4430.212,,,2021-05-28 21:16:57,2021-05-28 21:17:04,6.212s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _a3edc6""), password)",Chrome 90.0.4430.212,,,2021-05-28 21:17:04,2021-05-28 21:17:04,0.600s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 21:17:04,2021-05-28 21:17:05,0.554s,PASSED
"if (findTestObject(""Edit Fullname/Page_Mattermost/span_Back to Mattermost""))",Chrome 90.0.4430.212,,,2021-05-28 21:17:05,2021-05-28 21:17:08,3.113s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span""))",Chrome 90.0.4430.212,,,2021-05-28 21:17:08,2021-05-28 21:17:09,0.621s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Account Settings""))",Chrome 90.0.4430.212,,,2021-05-28 21:17:09,2021-05-28 21:17:10,1.882s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 21:17:10,2021-05-28 21:17:11,0.593s,PASSED
