Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit_FullName,Chrome 90.0.4430.212,,,2021-05-28 22:07:23,2021-05-28 22:11:09,3m - 45.759s,PASSED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 22:07:25,2021-05-28 22:08:29,1m - 3.966s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 22:07:25,2021-05-28 22:07:27,2.239s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signin"")",Chrome 90.0.4430.212,,,2021-05-28 22:07:27,2021-05-28 22:07:50,22.342s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _dcc84b""), username)",Chrome 90.0.4430.212,,,2021-05-28 22:07:50,2021-05-28 22:08:15,25.199s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _a3edc6""), password)",Chrome 90.0.4430.212,,,2021-05-28 22:08:15,2021-05-28 22:08:16,0.624s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 22:08:16,2021-05-28 22:08:16,0.524s,PASSED
"if (findTestObject(""Edit Fullname/Page_Mattermost/span_Back to Mattermost""))",Chrome 90.0.4430.212,,,2021-05-28 22:08:16,2021-05-28 22:08:20,4.285s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - mattermost Mattermost/span""))",Chrome 90.0.4430.212,,,2021-05-28 22:08:20,2021-05-28 22:08:23,2.515s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Account Settings""))",Chrome 90.0.4430.212,,,2021-05-28 22:08:23,2021-05-28 22:08:24,0.849s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 22:08:24,2021-05-28 22:08:24,0.671s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_First Name_firstName""), firstName)",Chrome 90.0.4430.212,,,2021-05-28 22:08:24,2021-05-28 22:08:26,1.835s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_Last Name_lastName""), lastName)",Chrome 90.0.4430.212,,,2021-05-28 22:08:26,2021-05-28 22:08:27,0.741s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Save""))",Chrome 90.0.4430.212,,,2021-05-28 22:08:27,2021-05-28 22:08:27,0.449s,PASSED
"verifyElementPresent(findTestObject(""Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_General Settings""), 0)",Chrome 90.0.4430.212,,,2021-05-28 22:08:27,2021-05-28 22:08:28,0.463s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 22:08:28,2021-05-28 22:08:29,0.710s,PASSED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 22:08:29,2021-05-28 22:09:24,55.585s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 22:08:29,2021-05-28 22:08:30,1.283s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signin"")",Chrome 90.0.4430.212,,,2021-05-28 22:08:30,2021-05-28 22:08:56,25.685s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _dcc84b""), username)",Chrome 90.0.4430.212,,,2021-05-28 22:08:56,2021-05-28 22:09:07,11.312s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _a3edc6""), password)",Chrome 90.0.4430.212,,,2021-05-28 22:09:07,2021-05-28 22:09:08,0.559s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 22:09:08,2021-05-28 22:09:08,0.542s,PASSED
"if (findTestObject(""Edit Fullname/Page_Mattermost/span_Back to Mattermost""))",Chrome 90.0.4430.212,,,2021-05-28 22:09:08,2021-05-28 22:09:17,9.064s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - mattermost Mattermost/span""))",Chrome 90.0.4430.212,,,2021-05-28 22:09:17,2021-05-28 22:09:20,2.732s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Account Settings""))",Chrome 90.0.4430.212,,,2021-05-28 22:09:20,2021-05-28 22:09:20,0.570s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 22:09:20,2021-05-28 22:09:21,0.666s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_First Name_firstName""), firstName)",Chrome 90.0.4430.212,,,2021-05-28 22:09:21,2021-05-28 22:09:22,0.922s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_Last Name_lastName""), lastName)",Chrome 90.0.4430.212,,,2021-05-28 22:09:22,2021-05-28 22:09:23,0.742s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Save""))",Chrome 90.0.4430.212,,,2021-05-28 22:09:23,2021-05-28 22:09:23,0.389s,PASSED
